date/time: ,26/10/2022,05:17 p.m.
Run 1

time	(N)
3,593333	4,027040E+0
3,600000	3,978795E+0
3,606667	3,971903E+0
3,613333	3,916767E+0
3,620000	3,854739E+0
3,626667	3,768588E+0
3,633333	3,689330E+0
3,640000	3,610071E+0
3,646667	3,551489E+0
3,653333	3,479123E+0
3,660000	3,410202E+0
3,666667	3,355066E+0
3,673333	3,268916E+0
3,680000	3,189657E+0
3,686667	3,134521E+0
3,693333	3,048370E+0
3,700000	2,962220E+0
3,706667	2,869177E+0
3,713333	2,762351E+0
3,720000	2,658970E+0
3,726667	2,562482E+0
3,733333	2,448763E+0
3,740000	2,372951E+0
3,746667	2,286800E+0
3,753333	2,224772E+0
3,760000	2,166190E+0
3,766667	2,104161E+0
3,773333	2,059363E+0
3,780000	1,990443E+0
3,786667	1,945644E+0
3,793333	1,883616E+0
3,800000	1,838818E+0
3,806667	1,776789E+0
3,813333	1,700977E+0
3,820000	1,642395E+0
3,826667	1,614826E+0
3,833333	1,611380E+0
3,840000	1,594150E+0
3,846667	1,604488E+0
3,853333	1,597596E+0
3,860000	1,625165E+0
3,866667	1,656179E+0
3,873333	1,697531E+0
3,880000	1,700977E+0
3,886667	1,738883E+0
3,893333	1,745775E+0
3,900000	1,769897E+0
3,906667	1,794019E+0
3,913333	1,835372E+0
3,920000	1,866386E+0
3,926667	1,938752E+0
3,933333	2,018011E+0
3,940000	2,097269E+0
3,946667	2,186866E+0
3,953333	2,269570E+0
3,960000	2,379843E+0
3,966667	2,455655E+0
3,973333	2,541806E+0
3,980000	2,600388E+0
3,986667	2,693430E+0
3,993333	2,765797E+0
4,000000	2,831271E+0
4,006667	2,896746E+0
4,013333	2,996680E+0
4,020000	3,079385E+0
4,026667	3,172427E+0
4,033333	3,282700E+0
4,040000	3,389526E+0
4,046667	3,468785E+0
4,053333	3,568719E+0
4,060000	3,641086E+0
4,066667	3,682438E+0
4,073333	3,747912E+0
4,080000	3,792710E+0
4,086667	3,820279E+0
4,093333	3,847847E+0
4,100000	3,889199E+0
4,106667	3,916767E+0
4,113333	3,961565E+0
4,120000	4,023594E+0
4,126667	4,054608E+0
4,133333	4,054608E+0
4,140000	4,082176E+0
4,146667	4,106298E+0
4,153333	4,092514E+0
4,160000	4,082176E+0
4,166667	4,051162E+0
4,173333	4,006364E+0
4,180000	3,951227E+0
4,186667	3,916767E+0
4,193333	3,861631E+0
4,200000	3,806495E+0
4,206667	3,768588E+0
4,213333	3,730682E+0
4,220000	3,699668E+0
4,226667	3,647978E+0
4,233333	3,579057E+0
4,240000	3,499799E+0
4,246667	3,434324E+0
4,253333	3,337836E+0
4,260000	3,231009E+0
4,266667	3,141413E+0
4,273333	3,051816E+0
4,280000	2,951882E+0
4,286667	2,848501E+0
4,293333	2,745121E+0
4,300000	2,689984E+0
4,306667	2,634848E+0
4,313333	2,541806E+0
4,320000	2,469439E+0
4,326667	2,407411E+0
4,333333	2,335044E+0
4,340000	2,242002E+0
4,346667	2,152405E+0
4,353333	2,086931E+0
4,360000	1,990443E+0
4,366667	1,914630E+0
4,373333	1,856048E+0
4,380000	1,794019E+0
4,386667	1,738883E+0
4,393333	1,749221E+0
4,400000	1,718207E+0
4,406667	1,690639E+0
4,413333	1,694085E+0
4,420000	1,680301E+0
4,426667	1,645841E+0
4,433333	1,659625E+0
4,440000	1,628611E+0
4,446667	1,614826E+0
4,453333	1,618273E+0
4,460000	1,635503E+0
4,466667	1,628611E+0
4,473333	1,652733E+0
4,480000	1,718207E+0
4,486667	1,776789E+0
4,493333	1,856048E+0
4,500000	1,911184E+0
4,506667	1,983551E+0
4,513333	2,038687E+0
4,520000	2,104161E+0
4,526667	2,173082E+0
4,533333	2,238556E+0
4,540000	2,290246E+0
4,546667	2,352275E+0
4,553333	2,414303E+0
4,560000	2,507345E+0
4,566667	2,583158E+0
4,573333	2,686538E+0
4,580000	2,789919E+0
4,586667	2,900192E+0
4,593333	3,000126E+0
4,600000	3,103507E+0
4,606667	3,196549E+0
4,613333	3,272362E+0
4,620000	3,351620E+0
4,626667	3,399864E+0
4,633333	3,465339E+0
4,640000	3,537705E+0
4,646667	3,579057E+0
4,653333	3,644532E+0
4,660000	3,727236E+0
4,666667	3,778926E+0
4,673333	3,868523E+0
4,680000	3,933997E+0
4,686667	3,982241E+0
4,693333	4,027040E+0
4,700000	4,051162E+0
4,706667	4,044270E+0
4,713333	4,051162E+0
4,720000	4,061500E+0
4,726667	4,033932E+0
4,733333	4,013256E+0
4,740000	4,030486E+0
4,746667	3,992580E+0
4,753333	3,982241E+0
4,760000	3,978795E+0
4,766667	3,961565E+0
4,773333	3,951227E+0
4,780000	3,906429E+0
4,786667	3,875415E+0
4,793333	3,799602E+0
4,800000	3,747912E+0
4,806667	3,641086E+0
4,813333	3,565273E+0
4,820000	3,496353E+0
4,826667	3,410202E+0
4,833333	3,310268E+0
4,840000	3,234455E+0
4,846667	3,158643E+0
4,853333	3,100061E+0
4,860000	3,038032E+0
4,866667	2,965666E+0
4,873333	2,876069E+0
4,880000	2,779581E+0
4,886667	2,696876E+0
4,893333	2,586604E+0
4,900000	2,514237E+0
4,906667	2,403965E+0
4,913333	2,290246E+0
4,920000	2,221326E+0
4,926667	2,142067E+0
4,933333	2,045579E+0
4,940000	2,024903E+0
4,946667	1,983551E+0
4,953333	1,907738E+0
4,960000	1,897400E+0
4,966667	1,862940E+0
4,973333	1,800912E+0
4,980000	1,749221E+0
4,986667	1,721653E+0
4,993333	1,649287E+0
5,000000	1,628611E+0
5,006667	1,597596E+0
5,013333	1,594150E+0
5,020000	1,576920E+0
5,026667	1,587258E+0
5,033333	1,611380E+0
5,040000	1,632057E+0
5,046667	1,690639E+0
5,053333	1,718207E+0
5,060000	1,797466E+0
5,066667	1,807804E+0
5,073333	1,831926E+0
5,080000	1,862940E+0
5,086667	1,914630E+0
5,093333	1,962874E+0
5,100000	2,000781E+0
5,106667	2,086931E+0
5,113333	2,145513E+0
5,120000	2,231664E+0
5,126667	2,321260E+0
5,133333	2,421195E+0
5,140000	2,524575E+0
5,146667	2,621064E+0
5,153333	2,724445E+0
5,160000	2,783027E+0
5,166667	2,862285E+0
5,173333	2,948436E+0
5,180000	3,003572E+0
5,186667	3,086277E+0
5,193333	3,144859E+0
5,200000	3,262024E+0
5,206667	3,320606E+0
5,213333	3,434324E+0
5,220000	3,489461E+0
5,226667	3,606625E+0
5,233333	3,675546E+0
5,240000	3,758250E+0
5,246667	3,820279E+0
5,253333	3,875415E+0
5,260000	3,892645E+0
5,266667	3,927105E+0
5,273333	3,944335E+0
5,280000	3,968457E+0
5,286667	3,999472E+0
5,293333	4,006364E+0
5,300000	4,023594E+0
5,306667	4,047716E+0
5,313333	4,064946E+0
5,320000	4,082176E+0
5,326667	4,068392E+0
5,333333	4,078730E+0
5,340000	4,037378E+0
5,346667	3,996026E+0
5,353333	3,951227E+0
5,360000	3,882307E+0
5,366667	3,834063E+0
5,373333	3,768588E+0
5,380000	3,699668E+0
5,386667	3,647978E+0
5,393333	3,585949E+0
5,400000	3,534259E+0
5,406667	3,468785E+0
5,413333	3,427432E+0
5,420000	3,341282E+0
5,426667	3,272362E+0
5,433333	3,179319E+0
5,440000	3,065600E+0
5,446667	2,972558E+0
