obs_wl_air(nm),unc_obs_wl,intens
626.64952,0.00005,10000
627.30141,0.0004,700
627.60327,0.0004,500
629.37447,0.00004,1000
630.47893,0.00005,1000
631.36855,0.0004,1500
632.81646,0.00004,3000
633.08894,0.0004,1500
633.44276,0.00005,10000
635.18532,0.0004,1000
636.49963,0.0004,1000
638.29914,0.00005,10000
640.1076,0.002,1000
640.2248,0.0001,20000
640.97469,0.0004,1500
642.17044,0.0004,1000
644.47118,0.00004,1500
650.65277,0.00005,15000
653.28824,0.00005,1000
659.89528,0.00005,10000
660.29007,0.0004,1000
664.00095,0.0004,100
664.08,0.002,50
665.20925,0.00004,1500
666.6892,0.0007,1000
667.82766,0.00005,5000
671.7043,0.00005,700
672.11342,0.0005,20
673.8032,0.0005,700
675.95821,0.0005,150
692.94672,0.00004,100000
702.405,0.00004,34000
703.24128,0.00004,85000
705.12922,0.00008,2200
705.91079,0.00004,10000
706.4762,0.0003,80
711.23075,0.00008,110
713.854,0.00011,55
717.3938,0.00004,77000
724.51665,0.00004,77000
730.48422,0.00008,89
743.88981,0.00004,60000
747.24383,0.00004,3100
748.88712,0.00004,32000
