Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0001,
Sample Interval,8e-08,
Filter Frequency,2e+08,
Record Length,20000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.05
Label,,
TIME,CH1,CH2
-2.27200e-04,-9.77109,0.00235156
-2.27120e-04,-9.77969,0.00202344
-2.27040e-04,-9.85234,0.00209375
-2.26960e-04,-9.8,0.00207031
-2.26880e-04,-9.80859,0.00211719
-2.26800e-04,-9.80313,0.00210938
-2.26720e-04,-9.80547,0.002125
-2.26640e-04,-9.81875,0.00246875
-2.26560e-04,-9.80156,0.00214063
-2.26480e-04,-9.8,0.00239844
-2.26400e-04,-9.80703,0.00302344
-2.26320e-04,-9.80625,0.00236719
-2.26240e-04,-9.80625,0.00223438
-2.26160e-04,-9.80703,0.00333594
-2.26080e-04,-9.80313,0.00205469
-2.26000e-04,-9.80234,0.00207031
-2.25920e-04,-9.82812,0.00229688
-2.25840e-04,-9.80156,0.00239844
-2.25760e-04,-9.8,0.00209375
-2.25680e-04,-9.8,0.00235156
-2.25600e-04,-9.81016,0.0026875
-2.25520e-04,-9.8,0.00289844
-2.25440e-04,-9.8,0.00204688
-2.25360e-04,-9.8,0.00210938
-2.25280e-04,-9.8,0.00253125
-2.25200e-04,-9.80156,0.00251563
-2.25120e-04,-9.8,0.002875
-2.25040e-04,-9.80625,0.00275
-2.24960e-04,-9.87188,0.00246875
-2.24880e-04,-9.8,0.0021875
-2.24800e-04,-9.82578,0.00207031
-2.24720e-04,-9.8,0.00224219
-2.24640e-04,-9.8,0.00238281
-2.24560e-04,-9.82266,0.00235156
-2.24480e-04,-9.8,0.00260938
-2.24400e-04,-9.8375,0.00320313
-2.24320e-04,-9.81875,0.00217969
-2.24240e-04,-9.81328,0.00248438
-2.24160e-04,-9.80313,0.0025625
-2.24080e-04,-9.8,0.00214844
-2.24000e-04,-9.80234,0.00251563
-2.23920e-04,-9.8,0.00285938
-2.23840e-04,-9.85,0.00211719
-2.23760e-04,-9.80313,0.00239063
-2.23680e-04,-9.8,0.00207031
-2.23600e-04,-9.8,0.00205469
-2.23520e-04,-9.80703,0.00217969
-2.23440e-04,-9.8,0.00219531
-2.23360e-04,-9.80156,0.00224219
-2.23280e-04,-9.81172,0.00222656
-2.23200e-04,-9.8,0.00274219
-2.23120e-04,-9.8,0.00242188
-2.23040e-04,-9.8,0.002375
-2.22960e-04,-9.8,0.00214063
-2.22880e-04,-9.81094,0.00303125
-2.22800e-04,-9.80625,0.00280469
-2.22720e-04,-9.8,0.00253906
-2.22640e-04,-9.80313,0.00202344
-2.22560e-04,-9.80703,0.00207031
-2.22480e-04,-9.8,0.00211719
-2.22400e-04,-9.80469,0.00216406
-2.22320e-04,-9.80156,0.00251563
-2.22240e-04,-9.82578,0.00277344
-2.22160e-04,-9.80625,0.00271094
-2.22080e-04,-9.8,0.00203906
-2.22000e-04,-9.8,0.00261719
-2.21920e-04,-9.8,0.00249219
-2.21840e-04,-9.8,0.00223438
