t,V_R
-0.0013720000000000002,2.0
-0.0013700000000000001,2.0
-0.001368,2.0
-0.001366,2.0
-0.0013640000000000002,2.0
-0.0013620000000000001,2.0
-0.00136,2.0
-0.001358,-26.8
-0.001356,-26.8
-0.0013540000000000002,-26.400000000000002
-0.0013520000000000001,-26.0
-0.00135,-26.0
-0.001348,-25.6
-0.0013460000000000002,-25.6
-0.0013440000000000001,-25.200000000000003
-0.001342,-25.200000000000003
-0.00134,-25.200000000000003
-0.001338,-24.8
-0.0013360000000000002,-24.8
-0.0013340000000000001,-24.400000000000002
-0.001332,-24.0
-0.00133,-24.0
-0.0013280000000000002,-23.6
-0.0013260000000000001,-23.6
-0.001324,-23.200000000000003
-0.001322,-23.200000000000003
-0.0013200000000000002,-22.8
-0.0013180000000000002,-22.8
-0.0013160000000000001,-22.400000000000002
-0.001314,-22.400000000000002
-0.001312,-22.0
-0.0013100000000000002,-21.6
-0.0013080000000000001,-22.0
-0.001306,-21.6
-0.001304,-21.200000000000003
-0.0013020000000000002,-21.200000000000003
-0.0013000000000000002,-21.200000000000003
-0.0012980000000000001,-20.8
-0.001296,-20.400000000000002
-0.001294,-20.400000000000002
-0.0012920000000000002,-20.400000000000002
-0.0012900000000000001,-20.400000000000002
-0.001288,-20.0
-0.001286,-19.6
-0.0012840000000000002,-19.6
-0.0012820000000000002,-19.200000000000003
-0.00128,-18.8
-0.001278,-19.200000000000003
-0.001276,-18.8
-0.0012740000000000002,-18.8
-0.0012720000000000001,-18.400000000000002
-0.00127,-18.400000000000002
-0.001268,-18.0
-0.0012660000000000002,-18.0
-0.0012640000000000001,-18.0
-0.001262,-18.0
-0.00126,-17.6
-0.001258,-17.6
-0.0012560000000000002,-17.2
-0.0012540000000000001,-17.2
-0.001252,-16.8
-0.00125,-16.8
-0.0012480000000000002,-16.8
-0.0012460000000000001,-16.400000000000002
-0.001244,-16.400000000000002
-0.001242,-16.400000000000002
-0.0012400000000000002,-16.0
-0.0012380000000000002,-16.0
-0.0012360000000000001,-16.0
-0.001234,-16.0
-0.001232,-15.600000000000001
-0.0012300000000000002,-15.200000000000001
-0.0012280000000000001,-15.200000000000001
-0.001226,-15.200000000000001
-0.001224,-15.200000000000001
-0.0012220000000000002,-14.8
-0.0012200000000000002,-14.8
-0.0012180000000000001,-14.8
-0.001216,-14.4
-0.001214,-14.4
-0.0012120000000000002,-14.4
-0.0012100000000000001,-14.0
-0.001208,-14.0
-0.001206,-14.0
-0.0012040000000000002,-13.600000000000001
-0.0012020000000000002,-13.600000000000001
-0.0012000000000000001,-13.600000000000001
-0.001198,-13.600000000000001
-0.001196,-13.200000000000001
-0.0011940000000000002,-13.200000000000001
-0.0011920000000000001,-12.8
-0.00119,-12.8
-0.001188,-12.8
-0.0011860000000000002,-12.4
-0.0011840000000000002,-12.4
-0.001182,-12.4
-0.00118,-12.4
-0.001178,-12.4
-0.0011760000000000002,-12.0
-0.0011740000000000001,-12.0
-0.001172,-11.600000000000001
-0.00117,-11.600000000000001
-0.0011680000000000002,-11.600000000000001
-0.0011660000000000002,-11.600000000000001
-0.001164,-11.200000000000001
-0.001162,-11.200000000000001
-0.00116,-11.200000000000001
-0.0011580000000000002,-10.8
-0.0011560000000000001,-11.200000000000001
-0.001154,-10.8
-0.001152,-10.8
-0.0011500000000000002,-10.8
-0.0011480000000000001,-10.4
-0.001146,-10.4
-0.001144,-10.4
-0.0011420000000000002,-10.4
-0.0011400000000000002,-10.0
-0.0011380000000000001,-10.0
-0.001136,-10.0
-0.001134,-10.0
-0.0011320000000000002,-10.0
-0.0011300000000000001,-9.600000000000001
-0.001128,-9.600000000000001
-0.001126,-9.200000000000001
-0.0011240000000000002,-9.200000000000001
-0.0011220000000000002,-9.200000000000001
-0.0011200000000000001,-9.200000000000001
-0.001118,-9.200000000000001
-0.001116,-9.200000000000001
-0.0011140000000000002,-8.8
-0.0011120000000000001,-8.8
-0.00111,-8.8
-0.001108,-8.8
-0.0011060000000000002,-8.8
-0.0011040000000000002,-8.4
-0.0011020000000000001,-8.4
-0.0011,-8.4
-0.001098,-8.4
-0.0010960000000000002,-8.4
-0.0010940000000000001,-8.0
-0.001092,-8.0
-0.00109,-8.0
-0.0010880000000000002,-8.0
-0.0010860000000000002,-7.6000000000000005
-0.0010840000000000001,-7.6000000000000005
-0.001082,-7.6000000000000005
-0.00108,-7.6000000000000005
-0.0010780000000000002,-7.6000000000000005
-0.0010760000000000001,-7.6000000000000005
-0.001074,-7.6000000000000005
-0.001072,-7.6000000000000005
-0.0010700000000000002,-7.2
-0.0010680000000000002,-7.2
-0.001066,-7.2
-0.001064,-6.800000000000001
-0.001062,-7.2
-0.0010600000000000002,-6.800000000000001
-0.0010580000000000001,-6.800000000000001
-0.001056,-6.800000000000001
-0.001054,-6.800000000000001
-0.0010520000000000002,-6.4
-0.0010500000000000002,-6.4
-0.001048,-6.4
-0.001046,-6.4
-0.0010440000000000002,-6.4
-0.0010420000000000002,-6.4
-0.0010400000000000001,-6.0
-0.001038,-6.0
-0.001036,-6.0
-0.0010340000000000002,-6.0
-0.0010320000000000001,-6.0
-0.00103,-6.0
-0.001028,-6.0
-0.0010260000000000002,-6.0
-0.0010240000000000002,-6.0
-0.0010220000000000001,-5.6000000000000005
-0.00102,-5.6000000000000005
-0.001018,-5.6000000000000005
-0.0010160000000000002,-5.6000000000000005
-0.0010140000000000001,-5.6000000000000005
-0.001012,-5.6000000000000005
-0.00101,-5.6000000000000005
-0.0010080000000000002,-5.6000000000000005
-0.0010060000000000002,-5.6000000000000005
-0.0010040000000000001,-5.2
-0.001002,-5.2
-0.001,-5.2
-0.0009980000000000002,-5.2
-0.0009960000000000001,-4.800000000000001
-0.000994,-5.2
-0.000992,-4.800000000000001
-0.0009900000000000002,-4.800000000000001
-0.0009880000000000002,-5.2
-0.0009860000000000001,-4.800000000000001
-0.000984,-4.800000000000001
-0.000982,-4.800000000000001
-0.0009800000000000002,-4.800000000000001
-0.0009780000000000001,-4.4
-0.0009760000000000001,-4.4
-0.000974,-4.800000000000001
-0.0009720000000000002,-4.4
-0.0009700000000000002,-4.800000000000001
-0.0009680000000000001,-4.4
-0.0009660000000000001,-4.4
-0.000964,-4.4
-0.0009620000000000002,-4.4
-0.0009600000000000001,-4.0
-0.0009580000000000001,24.8
-0.000956,24.400000000000002
-0.0009540000000000002,24.400000000000002
-0.0009520000000000002,24.0
-0.0009500000000000001,24.0
-0.0009480000000000001,24.0
-0.0009460000000000002,23.6
-0.0009440000000000002,23.6
-0.0009420000000000001,23.200000000000003
-0.0009400000000000001,23.200000000000003
-0.000938,22.8
-0.0009360000000000002,22.400000000000002
-0.0009340000000000002,22.400000000000002
-0.0009320000000000001,22.400000000000002
-0.00093,22.400000000000002
-0.0009280000000000002,21.6
-0.0009260000000000002,22.0
-0.0009240000000000001,21.6
-0.0009220000000000001,21.6
-0.00092,21.200000000000003
-0.0009180000000000002,21.200000000000003
-0.0009160000000000001,20.8
-0.0009140000000000001,20.8
-0.000912,20.400000000000002
-0.0009100000000000002,20.400000000000002
-0.0009080000000000002,20.400000000000002
-0.0009060000000000001,20.0
-0.0009040000000000001,20.0
-0.000902,20.0
-0.0009000000000000002,19.6
-0.0008980000000000001,19.6
-0.0008960000000000001,19.200000000000003
-0.000894,19.200000000000003
-0.0008920000000000002,18.8
-0.0008900000000000002,18.8
-0.0008880000000000001,18.8
-0.0008860000000000001,18.400000000000002
-0.000884,18.400000000000002
-0.0008820000000000002,18.400000000000002
-0.0008800000000000001,18.0
-0.0008780000000000001,18.0
-0.000876,17.6
-0.0008740000000000002,17.6
-0.0008720000000000002,17.2
-0.0008700000000000001,17.6
-0.0008680000000000001,17.2
-0.0008660000000000002,17.2
-0.0008640000000000002,16.8
-0.0008620000000000001,16.8
-0.0008600000000000001,16.8
-0.000858,16.400000000000002
-0.0008560000000000002,16.400000000000002
-0.0008540000000000002,16.0
-0.0008520000000000001,16.0
-0.0008500000000000001,16.0
-0.0008480000000000002,15.600000000000001
-0.0008460000000000002,15.600000000000001
-0.0008440000000000001,15.200000000000001
-0.0008420000000000001,15.200000000000001
-0.00084,15.200000000000001
-0.0008380000000000002,15.200000000000001
-0.0008360000000000002,15.200000000000001
-0.0008340000000000001,14.8
-0.0008320000000000001,14.4
-0.0008300000000000002,14.4
-0.0008280000000000002,14.8
-0.0008260000000000001,14.0
-0.0008240000000000001,14.0
-0.000822,14.0
-0.0008200000000000002,14.0
-0.0008180000000000002,14.0
-0.0008160000000000001,13.600000000000001
-0.000814,13.200000000000001
-0.0008120000000000002,13.200000000000001
-0.0008100000000000002,13.200000000000001
-0.0008080000000000001,13.200000000000001
-0.0008060000000000001,13.200000000000001
-0.000804,12.8
-0.0008020000000000002,12.8
-0.0008000000000000001,12.8
-0.0007980000000000001,12.4
-0.000796,12.4
-0.0007940000000000002,12.4
-0.0007920000000000002,12.4
-0.0007900000000000001,12.4
-0.0007880000000000001,12.0
-0.000786,12.0
-0.0007840000000000002,11.600000000000001
-0.0007820000000000001,11.600000000000001
-0.0007800000000000001,11.600000000000001
-0.000778,11.600000000000001
-0.0007760000000000002,11.600000000000001
-0.0007740000000000002,11.200000000000001
-0.0007720000000000001,11.200000000000001
-0.0007700000000000001,11.200000000000001
-0.0007680000000000002,10.8
-0.0007660000000000002,10.8
-0.0007640000000000001,10.8
-0.0007620000000000001,10.4
-0.00076,10.4
-0.0007580000000000002,10.4
-0.0007560000000000002,10.4
-0.0007540000000000001,10.0
-0.0007520000000000001,10.0
-0.0007500000000000002,10.0
-0.0007480000000000002,10.0
-0.0007460000000000001,10.0
-0.0007440000000000001,9.600000000000001
-0.000742,9.600000000000001
-0.0007400000000000002,9.600000000000001
-0.0007380000000000002,9.200000000000001
-0.0007360000000000001,9.200000000000001
-0.0007340000000000001,9.200000000000001
-0.0007320000000000002,9.200000000000001
-0.0007300000000000002,9.200000000000001
-0.0007280000000000001,9.200000000000001
-0.0007260000000000001,8.8
-0.000724,8.8
-0.0007220000000000002,8.8
-0.0007200000000000002,8.8
-0.0007180000000000001,8.4
-0.0007160000000000001,8.8
-0.0007140000000000002,8.0
-0.0007120000000000002,8.4
-0.0007100000000000001,8.4
-0.0007080000000000001,8.4
-0.000706,8.0
-0.0007040000000000002,8.0
