t,V1,V2
-0.027280000000000002,-2.64,-2.24
-0.02724,-2.64,-2.16
-0.027200000000000002,-2.64,-2.16
-0.02716,-2.72,-2.16
-0.027120000000000002,-2.72,-2.08
-0.02708,-2.72,-2.08
-0.02704,-2.72,-2.0
-0.027,-2.8000000000000003,-2.0
-0.02696,-2.8000000000000003,-1.92
-0.02692,-2.88,-1.92
-0.02688,-2.88,-1.84
-0.02684,-2.88,-1.84
-0.0268,-2.88,-1.76
-0.026760000000000003,-2.96,-1.76
-0.02672,-2.96,-1.68
-0.026680000000000002,-2.96,-1.6
-0.02664,-3.04,-1.6
-0.026600000000000002,-3.04,-1.52
-0.02656,-3.04,-1.52
-0.026520000000000002,-3.04,-1.44
-0.02648,-3.04,-1.36
-0.02644,-3.04,-1.36
-0.0264,-3.04,-1.28
-0.02636,-3.04,-1.28
-0.02632,-3.12,-1.28
-0.02628,-3.12,-1.12
-0.02624,-3.12,-1.12
-0.0262,-3.12,-1.12
-0.02616,-3.12,-1.04
-0.02612,-3.2,-1.04
-0.026080000000000002,-3.2,-1.04
-0.02604,-3.2,-0.88
-0.026000000000000002,-3.2,-0.88
-0.02596,-3.2800000000000002,-0.8
-0.025920000000000002,-3.2,-0.8
-0.02588,-3.2,-0.72
-0.025840000000000002,-3.2800000000000002,-0.64
-0.0258,-3.2800000000000002,-0.64
-0.02576,-3.2800000000000002,-0.56
-0.02572,-3.2800000000000002,-0.48
-0.02568,-3.2800000000000002,-0.48
-0.02564,-3.2800000000000002,-0.4
-0.0256,-3.2800000000000002,-0.4
-0.02556,-3.2800000000000002,-0.32
-0.02552,-3.2800000000000002,-0.24
-0.02548,-3.2800000000000002,-0.24
-0.02544,-3.2800000000000002,-0.16
-0.025400000000000002,-3.2800000000000002,-0.08
-0.02536,-3.36,-0.08
-0.025320000000000002,-3.36,-0.08
-0.02528,-3.2800000000000002,0.0
-0.025240000000000002,-3.2800000000000002,0.08
-0.0252,-3.2800000000000002,0.08
-0.025160000000000002,-3.2800000000000002,0.16
-0.02512,-3.2800000000000002,0.16
-0.02508,-3.2800000000000002,0.24
-0.02504,-3.2800000000000002,0.32
-0.025,-3.2800000000000002,0.4
-0.02496,-3.2800000000000002,0.4
-0.02492,-3.2800000000000002,0.48
-0.02488,-3.2800000000000002,0.48
-0.02484,-3.2800000000000002,0.56
-0.0248,-3.2800000000000002,0.56
-0.02476,-3.2800000000000002,0.64
-0.024720000000000002,-3.2800000000000002,0.64
-0.02468,-3.2800000000000002,0.72
-0.024640000000000002,-3.2800000000000002,0.8
-0.0246,-3.2,0.88
-0.024560000000000002,-3.2,0.88
-0.02452,-3.2,0.88
-0.024480000000000002,-3.2,0.96
-0.02444,-3.2,1.04
-0.0244,-3.2,1.04
-0.02436,-3.2,1.12
-0.02432,-3.2,1.2
-0.02428,-3.12,1.2
-0.02424,-3.12,1.28
-0.0242,-3.12,1.28
-0.02416,-3.12,1.36
-0.02412,-3.04,1.44
-0.02408,-3.12,1.44
-0.024040000000000002,-3.04,1.52
-0.024,-3.04,1.52
-0.023960000000000002,-3.04,1.52
-0.02392,-3.04,1.6
-0.023880000000000002,-3.04,1.6
-0.02384,-2.96,1.68
-0.0238,-2.96,1.76
-0.02376,-2.96,1.84
-0.02372,-2.96,1.84
-0.02368,-2.96,1.84
-0.02364,-2.88,1.92
-0.0236,-2.88,1.92
-0.02356,-2.88,2.0
-0.02352,-2.8000000000000003,2.08
-0.02348,-2.8000000000000003,2.08
-0.02344,-2.8000000000000003,2.16
-0.0234,-2.72,2.16
-0.023360000000000002,-2.72,2.16
-0.02332,-2.72,2.24
-0.023280000000000002,-2.72,2.24
-0.02324,-2.72,2.24
-0.023200000000000002,-2.64,2.32
-0.02316,-2.64,2.32
-0.02312,-2.64,2.4
-0.02308,-2.64,2.48
-0.02304,-2.56,2.48
-0.023,-2.48,2.56
-0.02296,-2.48,2.56
-0.02292,-2.48,2.56
-0.02288,-2.48,2.64
-0.02284,-2.4,2.72
-0.0228,-2.4,2.72
-0.02276,-2.32,2.72
-0.02272,-2.32,2.8000000000000003
-0.022680000000000002,-2.24,2.88
-0.02264,-2.24,2.88
-0.022600000000000002,-2.24,2.88
-0.02256,-2.16,2.88
-0.022520000000000002,-2.16,2.96
-0.02248,-2.16,2.96
-0.02244,-2.08,3.04
-0.0224,-2.08,3.04
-0.02236,-2.08,3.12
-0.02232,-2.0,3.12
-0.02228,-2.0,3.12
-0.02224,-1.92,3.12
-0.0222,-1.92,3.2
-0.02216,-1.84,3.2
-0.02212,-1.84,3.2
-0.02208,-1.84,3.2800000000000002
-0.02204,-1.76,3.2800000000000002
-0.022000000000000002,-1.68,3.2800000000000002
-0.02196,-1.68,3.36
-0.021920000000000002,-1.68,3.44
-0.02188,-1.6,3.44
-0.021840000000000002,-1.6,3.44
-0.0218,-1.52,3.44
-0.02176,-1.52,3.44
-0.02172,-1.44,3.52
-0.02168,-1.44,3.52
-0.02164,-1.36,3.52
-0.0216,-1.36,3.52
-0.02156,-1.36,3.6
-0.02152,-1.28,3.6
-0.02148,-1.28,3.6
-0.02144,-1.2,3.68
-0.0214,-1.12,3.68
-0.02136,-1.12,3.7600000000000002
-0.021320000000000002,-1.04,3.68
-0.02128,-1.04,3.68
-0.021240000000000002,-1.04,3.68
-0.0212,-0.96,3.7600000000000002
-0.02116,-0.88,3.7600000000000002
-0.02112,-0.88,3.7600000000000002
-0.02108,-0.8,3.7600000000000002
-0.02104,-0.8,3.7600000000000002
-0.021,-0.72,3.7600000000000002
-0.02096,-0.72,3.7600000000000002
-0.02092,-0.72,3.7600000000000002
-0.02088,-0.64,3.84
-0.02084,-0.56,3.84
-0.0208,-0.56,3.84
-0.02076,-0.48,3.84
-0.02072,-0.48,3.84
-0.02068,-0.48,3.84
-0.020640000000000002,-0.4,3.84
