date/time: ,28/09/2022,05:47 p.m.
Run 1

time	(V)
52,111333	4,511106E+0
52,112000	4,511106E+0
52,112667	4,508591E+0
52,113333	4,511106E+0
52,114000	4,518653E+0
52,114667	4,518653E+0
52,115333	4,513622E+0
52,116000	4,516137E+0
52,116667	4,518653E+0
52,117333	4,516137E+0
52,118000	4,516137E+0
52,118667	4,511106E+0
52,119333	4,511106E+0
52,120000	4,513622E+0
52,120667	4,511106E+0
52,121333	4,503560E+0
52,122000	4,506076E+0
52,122667	4,508591E+0
52,123333	4,508591E+0
52,124000	4,508591E+0
52,124667	4,508591E+0
52,125333	4,511106E+0
52,126000	4,511106E+0
52,126667	4,511106E+0
52,127333	4,513622E+0
52,128000	4,508591E+0
52,128667	4,521168E+0
52,129333	4,516137E+0
52,130000	4,516137E+0
52,130667	4,518653E+0
52,131333	4,516137E+0
52,132000	4,513622E+0
52,132667	4,508591E+0
52,133333	4,511106E+0
52,134000	4,513622E+0
52,134667	4,511106E+0
52,135333	4,513622E+0
52,136000	4,508591E+0
52,136667	4,508591E+0
52,137333	4,511106E+0
52,138000	4,508591E+0
52,138667	4,506076E+0
52,139333	4,506076E+0
52,140000	4,506076E+0
52,140667	4,503560E+0
52,141333	4,506076E+0
52,142000	4,508591E+0
52,142667	4,508591E+0
52,143333	4,503560E+0
52,144000	4,506076E+0
52,144667	4,513622E+0
52,145333	4,508591E+0
52,146000	4,508591E+0
52,146667	4,508591E+0
52,147333	4,508591E+0
52,148000	4,508591E+0
52,148667	4,506076E+0
52,149333	4,513622E+0
52,150000	4,513622E+0
52,150667	4,518653E+0
52,151333	4,516137E+0
52,152000	4,513622E+0
52,152667	4,518653E+0
52,153333	4,511106E+0
52,154000	4,508591E+0
52,154667	4,508591E+0
52,155333	4,511106E+0
52,156000	4,511106E+0
52,156667	4,511106E+0
52,157333	4,506076E+0
52,158000	4,508591E+0
52,158667	4,503560E+0
52,159333	4,506076E+0
52,160000	4,508591E+0
52,160667	4,506076E+0
52,161333	4,513622E+0
52,162000	4,513622E+0
52,162667	4,508591E+0
52,163333	4,511106E+0
52,164000	4,508591E+0
52,164667	4,518653E+0
52,165333	4,518653E+0
52,166000	4,518653E+0
52,166667	4,516137E+0
52,167333	4,516137E+0
52,168000	4,521168E+0
52,168667	4,511106E+0
52,169333	4,513622E+0
52,170000	4,508591E+0
52,170667	4,508591E+0
52,171333	4,513622E+0
52,172000	4,508591E+0
52,172667	4,506076E+0
52,173333	4,506076E+0
52,174000	4,508591E+0
52,174667	4,503560E+0
52,175333	4,508591E+0
52,176000	4,506076E+0
52,176667	4,506076E+0
52,177333	4,508591E+0
52,178000	4,511106E+0
52,178667	4,508591E+0
52,179333	4,513622E+0
52,180000	4,511106E+0
52,180667	4,511106E+0
52,181333	4,511106E+0
52,182000	4,511106E+0
52,182667	4,511106E+0
52,183333	4,513622E+0
52,184000	4,521168E+0
52,184667	4,516137E+0
52,185333	4,518653E+0
52,186000	4,508591E+0
52,186667	4,511106E+0
52,187333	4,513622E+0
52,188000	4,511106E+0
52,188667	4,508591E+0
52,189333	4,506076E+0
52,190000	4,503560E+0
52,190667	4,508591E+0
52,191333	4,503560E+0
52,192000	4,511106E+0
52,192667	4,508591E+0
52,193333	4,511106E+0
52,194000	4,508591E+0
52,194667	4,511106E+0
52,195333	4,513622E+0
52,196000	4,516137E+0
52,196667	4,516137E+0
52,197333	4,518653E+0
52,198000	4,516137E+0
52,198667	4,516137E+0
52,199333	4,518653E+0
52,200000	4,516137E+0
52,200667	4,516137E+0
52,201333	4,513622E+0
52,202000	4,511106E+0
52,202667	4,511106E+0
52,203333	4,513622E+0
52,204000	4,503560E+0
52,204667	4,508591E+0
52,205333	4,506076E+0
52,206000	4,506076E+0
52,206667	4,503560E+0
52,207333	4,501045E+0
52,208000	4,506076E+0
52,208667	4,501045E+0
52,209333	4,508591E+0
52,210000	4,511106E+0
52,210667	4,508591E+0
52,211333	4,511106E+0
52,212000	4,511106E+0
52,212667	4,518653E+0
52,213333	4,513622E+0
52,214000	4,513622E+0
52,214667	4,516137E+0
52,215333	4,513622E+0
52,216000	4,518653E+0
52,216667	4,516137E+0
52,217333	4,516137E+0
52,218000	4,511106E+0
52,218667	4,501045E+0
52,219333	4,511106E+0
52,220000	4,511106E+0
52,220667	4,513622E+0
52,221333	4,511106E+0
52,222000	4,506076E+0
52,222667	4,503560E+0
52,223333	4,503560E+0
52,224000	4,506076E+0
52,224667	4,511106E+0
52,225333	4,511106E+0
52,226000	4,508591E+0
52,226667	4,508591E+0
52,227333	4,511106E+0
52,228000	4,513622E+0
52,228667	4,518653E+0
52,229333	4,518653E+0
52,230000	4,516137E+0
52,230667	4,511106E+0
52,231333	4,511106E+0
52,232000	4,513622E+0
52,232667	4,511106E+0
52,233333	4,508591E+0
52,234000	4,503560E+0
52,234667	4,506076E+0
52,235333	4,506076E+0
52,236000	4,503560E+0
52,236667	4,503560E+0
52,237333	4,511106E+0
52,238000	4,508591E+0
52,238667	4,508591E+0
52,239333	4,511106E+0
52,240000	4,518653E+0
52,240667	4,516137E+0
52,241333	4,518653E+0
52,242000	4,518653E+0
52,242667	4,513622E+0
52,243333	4,516137E+0
52,244000	4,511106E+0
52,244667	4,508591E+0
52,245333	4,511106E+0
52,246000	4,511106E+0
52,246667	4,513622E+0
52,247333	4,511106E+0
52,248000	4,508591E+0
52,248667	4,506076E+0
52,249333	4,506076E+0
52,250000	4,506076E+0
52,250667	4,506076E+0
52,251333	4,503560E+0
52,252000	4,508591E+0
52,252667	4,508591E+0
52,253333	4,511106E+0
52,254000	4,513622E+0
52,254667	4,516137E+0
52,255333	4,513622E+0
52,256000	4,516137E+0
52,256667	4,518653E+0
52,257333	4,516137E+0
52,258000	4,506076E+0
52,258667	4,508591E+0
52,259333	4,511106E+0
52,260000	4,511106E+0
52,260667	4,508591E+0
52,261333	4,506076E+0
52,262000	4,508591E+0
52,262667	4,508591E+0
52,263333	4,511106E+0
52,264000	4,508591E+0
52,264667	4,508591E+0
52,265333	4,513622E+0
52,266000	4,508591E+0
52,266667	4,516137E+0
52,267333	4,516137E+0
52,268000	4,516137E+0
52,268667	4,508591E+0
52,269333	4,511106E+0
52,270000	4,508591E+0
52,270667	4,508591E+0
52,271333	4,511106E+0
52,272000	4,513622E+0
52,272667	4,506076E+0
52,273333	4,506076E+0
52,274000	4,503560E+0
52,274667	4,508591E+0
52,275333	4,511106E+0
52,276000	4,508591E+0
52,276667	4,513622E+0
52,277333	4,521168E+0
52,278000	4,518653E+0
52,278667	4,521168E+0
52,279333	4,521168E+0
52,280000	4,511106E+0
52,280667	4,508591E+0
52,281333	4,511106E+0
52,282000	4,511106E+0
52,282667	4,503560E+0
52,283333	4,506076E+0
52,284000	4,508591E+0
52,284667	4,508591E+0
52,285333	4,508591E+0
52,286000	4,511106E+0
52,286667	4,511106E+0
52,287333	4,511106E+0
52,288000	4,513622E+0
52,288667	4,516137E+0
52,289333	4,513622E+0
52,290000	4,511106E+0
52,290667	4,508591E+0
52,291333	4,508591E+0
52,292000	4,503560E+0
52,292667	4,506076E+0
52,293333	4,503560E+0
52,294000	4,503560E+0
52,294667	4,511106E+0
52,295333	4,511106E+0
52,296000	4,508591E+0
52,296667	4,513622E+0
52,297333	4,518653E+0
52,298000	4,516137E+0
52,298667	4,516137E+0
52,299333	4,518653E+0
52,300000	4,508591E+0
52,300667	4,511106E+0
52,301333	4,511106E+0
52,302000	4,508591E+0
52,302667	4,506076E+0
52,303333	4,506076E+0
52,304000	4,506076E+0
52,304667	4,506076E+0
52,305333	4,513622E+0
52,306000	4,511106E+0
52,306667	4,508591E+0
52,307333	4,508591E+0
52,308000	4,518653E+0
52,308667	4,513622E+0
52,309333	4,513622E+0
52,310000	4,518653E+0
52,310667	4,511106E+0
52,311333	4,513622E+0
52,312000	4,508591E+0
52,312667	4,508591E+0
52,313333	4,508591E+0
52,314000	4,508591E+0
52,314667	4,501045E+0
52,315333	4,503560E+0
52,316000	4,511106E+0
52,316667	4,508591E+0
52,317333	4,518653E+0
52,318000	4,508591E+0
52,318667	4,511106E+0
52,319333	4,516137E+0
52,320000	4,518653E+0
52,320667	4,516137E+0
52,321333	4,518653E+0
52,322000	4,518653E+0
52,322667	4,516137E+0
52,323333	4,511106E+0
52,324000	4,511106E+0
52,324667	4,508591E+0
52,325333	4,511106E+0
52,326000	4,508591E+0
52,326667	4,511106E+0
52,327333	4,506076E+0
52,328000	4,503560E+0
52,328667	4,506076E+0
52,329333	4,503560E+0
52,330000	4,506076E+0
52,330667	4,508591E+0
52,331333	4,508591E+0
52,332000	4,508591E+0
52,332667	4,511106E+0
52,333333	4,511106E+0
52,334000	4,508591E+0
