Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,20000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.005
Label,,
TIME,CH1,CH2
-3.0176e-04,-9.8,0.0004
-3.0160e-04,-9.8,0.0004
-3.0144e-04,-9.8,0.0004
-3.0128e-04,-9.8,0.0004
-3.0112e-04,-9.8,0.0004
-3.0096e-04,-9.8,0.0004
-3.0080e-04,-9.8,0.0004
-3.0064e-04,-9.8,0.0006
-3.0048e-04,-9.8,0.0006
-3.0032e-04,-9.8,0.0004
-3.0016e-04,-9.8,0.0004
-3.0000e-04,-9.8,0.0004
-2.9984e-04,-10,0.0004
-2.9968e-04,-9.8,0.0006
-2.9952e-04,-9.8,0.0006
-2.9936e-04,-9.8,0.0004
-2.9920e-04,-9.8,0.0004
-2.9904e-04,-9.8,0.0004
-2.9888e-04,-9.8,0.0002
-2.9872e-04,-10,0.0006
-2.9856e-04,-9.8,0.0004
-2.9840e-04,-9.8,0.0004
-2.9824e-04,-9.8,0.0006
-2.9808e-04,-9.8,0.0004
-2.9792e-04,-9.8,0.0002
-2.9776e-04,-9.8,0.0002
-2.9760e-04,-9.8,0.0008
-2.9744e-04,-9.8,0.0006
-2.9728e-04,-9.8,0.0002
-2.9712e-04,-9.8,0.0006
-2.9696e-04,-9.8,0.0002
-2.9680e-04,-9.8,0.0004
-2.9664e-04,-9.8,0.0002
-2.9648e-04,-9.8,0.0002
-2.9632e-04,-9.8,0.0002
-2.9616e-04,-9.8,0.0006
-2.9600e-04,-9.8,0.0006
-2.9584e-04,-9.8,0.0004
-2.9568e-04,-9.8,0.0004
-2.9552e-04,-9.8,0.0006
-2.9536e-04,-9.8,0.0006
-2.9520e-04,-9.8,0.0004
-2.9504e-04,-9.8,0.0006
-2.9488e-04,-9.8,0.0006
-2.9472e-04,-9.8,0.0004
-2.9456e-04,-9.8,0.0004
-2.9440e-04,-9.8,0.0004
-2.9424e-04,-9.8,0.0004
-2.9408e-04,-9.8,0.0004
-2.9392e-04,-9.8,0.0006
-2.9376e-04,-9.8,0.0006
-2.9360e-04,-9.8,0.0006
-2.9344e-04,-9.8,0.0004
-2.9328e-04,-9.8,0.0004
-2.9312e-04,-9.8,0.0008
-2.9296e-04,-9.8,0.0004
-2.9280e-04,-9.8,0.0008
-2.9264e-04,-9.8,0.0006
-2.9248e-04,-9.8,0.0006
-2.9232e-04,-9.8,0.0006
-2.9216e-04,-9.8,0.0004
-2.9200e-04,-9.8,0.0002
-2.9184e-04,-9.8,0.0006
-2.9168e-04,-9.8,0.0006
-2.9152e-04,-9.8,0.0008
-2.9136e-04,-9.8,0.0006
-2.9120e-04,-9.8,0.0004
-2.9104e-04,-9.8,0.0008
-2.9088e-04,-9.8,0.0002
-2.9072e-04,-9.8,0.0004
-2.9056e-04,-9.8,0.0004
-2.9040e-04,-10,0.0006
-2.9024e-04,-9.8,0.0006
-2.9008e-04,-9.8,0.0006
-2.8992e-04,-9.8,0.0004
-2.8976e-04,-9.8,0.0004
-2.8960e-04,-9.8,0.0006
-2.8944e-04,-9.8,0.0004
-2.8928e-04,-9.8,0.0006
-2.8912e-04,-9.8,0.0004
-2.8896e-04,-9.8,0.0006
-2.8880e-04,-9.8,0.0004
-2.8864e-04,-9.8,0.0006
-2.8848e-04,-10,0.0006
-2.8832e-04,-9.8,0.0004
-2.8816e-04,-9.8,0.0006
-2.8800e-04,-9.8,0.0006
-2.8784e-04,-9.8,0.0006
-2.8768e-04,-9.8,0.0004
-2.8752e-04,-9.8,0.0002
-2.8736e-04,-9.8,0.0006
-2.8720e-04,-9.8,0.0006
-2.8704e-04,-9.8,0.0004
-2.8688e-04,-9.8,0.0004
-2.8672e-04,-9.8,0.0006
-2.8656e-04,-9.8,0.0006
-2.8640e-04,-9.8,0.0004
-2.8624e-04,-9.8,0.0002
-2.8608e-04,-9.8,0.0004
-2.8592e-04,-9.8,0.0006
-2.8576e-04,-9.8,0.0006
-2.8560e-04,-9.8,0.0006
-2.8544e-04,-9.8,0.0002
-2.8528e-04,-9.8,0.0002
-2.8512e-04,-9.8,0.0004
-2.8496e-04,-9.8,0.0008
-2.8480e-04,-9.8,0.0006
-2.8464e-04,-9.8,0.0002
-2.8448e-04,-9.8,0.0004
-2.8432e-04,-9.8,0.0004
-2.8416e-04,-9.8,0.0004
-2.8400e-04,-9.8,0.0004
-2.8384e-04,-9.8,0.0004
-2.8368e-04,-9.8,0.0006
-2.8352e-04,-9.8,0.0006
-2.8336e-04,-9.8,0.0006
-2.8320e-04,-9.8,0.0004
-2.8304e-04,-9.8,0.0004
-2.8288e-04,-9.8,0.0006
-2.8272e-04,-9.8,0.0006
-2.8256e-04,-9.8,0.0004
-2.8240e-04,-9.8,0.0004
-2.8224e-04,-9.8,0.0006
-2.8208e-04,-9.8,0.0004
-2.8192e-04,-9.8,0.0006
-2.8176e-04,-9.8,0.0002
